Date,ave_vote_metric,num_votes
1921-08-01,0.5294117647058824,51
1921-10-01,0.5517241379310345,58
1921-11-01,0.4426229508196721,61
1921-12-01,0.4,20
1922-01-01,0.5,44
1922-02-01,0.7083333333333331,24
1922-03-01,0.631578947368421,76
1922-04-01,0.5384615384615385,39
1922-05-01,0.66412213740458,131
1922-06-01,0.6153846153846155,91
1922-08-01,0.38053097345132747,113
1922-09-01,0.6428571428571429,28
1922-11-01,0.3888888888888889,18
1922-12-01,0.5294117647058824,17
1923-01-01,0.5789473684210527,38
1923-02-01,0.5636363636363636,55
1923-03-01,0.6818181818181818,22
1923-12-01,0.55,40
1924-01-01,0.16666666666666666,18
1924-02-01,0.4230769230769231,26
1924-03-01,0.39473684210526316,38
1924-04-01,0.5116279069767442,43
1924-05-01,0.5333333333333331,90
1924-06-01,0.5357142857142857,28
1924-12-01,0.7333333333333333,15
1925-01-01,0.4318181818181818,44
1925-02-01,0.578125,64
1925-03-01,0.47368421052631576,19
1925-12-01,0.4,5
1926-01-01,0.4444444444444444,27
1926-02-01,0.6041666666666666,48
1926-03-01,0.6923076923076923,26
1926-04-01,0.7142857142857143,35
1926-05-01,0.6296296296296297,27
1926-06-01,0.6,55
1926-07-01,1.0,5
1926-12-01,0.9230769230769231,13
1927-01-01,0.7058823529411765,17
1927-02-01,0.5932203389830508,59
1927-03-01,0.45454545454545453,22
1927-12-01,0.4444444444444444,18
1928-01-01,0.6190476190476191,21
1928-02-01,0.4642857142857143,28
1928-03-01,0.6842105263157895,19
1928-04-01,0.47058823529411764,17
1928-05-01,0.6973684210526316,76
1928-12-01,0.5789473684210527,19
1929-01-01,0.5,10
1929-02-01,0.8444444444444444,45
1929-03-01,0.7,10
1929-04-01,1.0,2
1929-05-01,0.2857142857142857,28
1929-06-01,0.25,20
1929-12-01,0.43478260869565216,23
1930-01-01,0.41379310344827586,29
1930-02-01,0.18518518518518512,54
1930-03-01,0.49999999999999994,100
1930-04-01,0.46875,32
1930-05-01,0.5128205128205129,39
1930-06-01,0.65625,32
1930-07-01,0.7142857142857143,21
1930-12-01,0.47058823529411764,17
1931-01-01,0.35714285714285715,28
1931-02-01,0.5882352941176471,34
1931-03-01,0.8235294117647058,17
1931-12-01,0.6285714285714286,35
1932-01-01,0.41379310344827586,29
1932-02-01,0.5,16
1932-03-01,0.52,25
1932-04-01,0.7,30
1932-05-01,0.6081081081081082,74
