Date,ave_vote_metric,num_votes
1899-01-01,0.625,8
1900-01-01,0.3333333333333332,189
1901-01-01,0.4999999999999998,130
1902-01-01,0.5521472392638038,163
1903-01-01,0.34507042253521125,142
1904-01-01,0.35555555555555546,90
1905-01-01,0.41975308641975306,81
1906-01-01,0.5079365079365079,189
1907-01-01,0.32,75
1908-01-01,0.5541795665634675,323
1909-01-01,0.3164556962025315,237
1910-01-01,0.467005076142132,197
1911-01-01,0.3565891472868216,258
1912-01-01,0.623188405797101,345
1913-01-01,0.661097852028639,419
1914-01-01,0.6306306306306305,444
1915-01-01,0.4814814814814817,162
1916-01-01,0.5324324324324325,370
1917-01-01,0.5773672055427255,433
1918-01-01,0.6852459016393444,305
1919-01-01,0.6424999999999998,400
1920-01-01,0.6366906474820141,278
1921-01-01,0.4873786407766991,515
1922-01-01,0.5510835913312696,646
1923-01-01,0.5806451612903226,155
1924-01-01,0.4844961240310077,258
1925-01-01,0.5075757575757575,132
1926-01-01,0.6398305084745759,236
1927-01-01,0.5603448275862067,116
1928-01-01,0.6166666666666663,180
1929-01-01,0.5223880597014927,201
1930-01-01,0.4660493827160493,324
1931-01-01,0.5789473684210525,114
1932-01-01,0.6035087719298246,285
1933-01-01,0.34297520661157027,242
1934-01-01,0.377358490566038,212
1935-01-01,0.43346007604562736,263
1936-01-01,0.5774647887323945,142
1937-01-01,0.3526315789473684,190
1938-01-01,0.323943661971831,142
1939-01-01,0.3076923076923076,208
1940-01-01,0.3802816901408449,284
1941-01-01,0.5027932960893855,179
1942-01-01,0.6746987951807225,166
1943-01-01,0.49765258215962427,213
1944-01-01,0.5398773006134968,163
1945-01-01,0.5215311004784691,209
1946-01-01,0.541353383458647,266
1947-01-01,0.5360360360360359,222
1948-01-01,0.5079365079365077,189
1949-01-01,0.5014409221902014,347
1950-01-01,0.523809523809524,378
1951-01-01,0.4681528662420382,314
1952-01-01,0.3891891891891892,185
1953-01-01,0.5590062111801246,161
1954-01-01,0.5875486381322959,257
1955-01-01,0.674846625766871,163
1956-01-01,0.5911330049261084,203
1957-01-01,0.5410628019323674,207
1958-01-01,0.6348122866894199,293
1959-01-01,0.5099337748344371,302
1960-01-01,0.6433333333333331,300
1961-01-01,0.484375,320
1962-01-01,0.614942528735633,348
1963-01-01,0.5517241379310347,348
1964-01-01,0.6722488038277511,418
1965-01-01,0.5282608695652177,460
1966-01-01,0.6241299303944318,431
1967-01-01,0.6767857142857139,560
1968-01-01,0.745136186770428,514
1969-01-01,0.7938388625592415,422
1970-01-01,0.7860262008733624,687
1971-01-01,0.7281292059219384,743
1972-01-01,0.7711962833914056,861
1973-01-01,0.661674008810573,1135
1974-01-01,0.7622571692876968,1081
1975-01-01,0.5854456255110383,1223
1976-01-01,0.6914033798677436,1361
1977-01-01,0.6154992548435181,1342
1978-01-01,0.6720827178729685,1354
1979-01-01,0.5338983050847467,1180
1980-01-01,0.6173913043478254,1150
1981-01-01,0.678823529411764,850
1982-01-01,0.6745689655172415,928
1983-01-01,0.4925201380897582,869
1984-01-01,0.5542857142857139,700
1985-01-01,0.4304878048780487,820
1986-01-01,0.45555555555555555,810
1987-01-01,0.3920704845814978,908
1988-01-01,0.4987951807228916,830
1989-01-01,0.4852941176470588,680
1990-01-01,0.5029868578255671,837
1991-01-01,0.49293785310734445,708
1992-01-01,0.36877523553162866,743
1993-01-01,0.32661290322580633,992
1994-01-01,0.368038740920097,826
1995-01-01,0.27027027027026995,1480
1996-01-01,0.38421052631578945,760
1997-01-01,0.500537056928034,931
1998-01-01,0.45572609208972836,847
1999-01-01,0.5045778229908435,983
2000-01-01,0.566815144766147,898
2001-01-01,0.5704622322435182,887
2002-01-01,0.5801630434782596,736
2003-01-01,0.4867724867724866,1134
2004-01-01,0.5072463768115942,759
2005-01-01,0.4695652173913044,1035
2006-01-01,0.5012195121951214,820
2007-01-01,0.39221741815935796,1619
2008-01-01,0.43078626799557024,903
2009-01-01,0.5108381502890168,1384
2010-01-01,0.554744525547446,959
2011-01-01,0.2364406779661017,1180
2012-01-01,0.2627494456762751,902
2013-01-01,0.32977588046958384,937
2014-01-01,0.2758620689655171,928
2015-01-01,0.24111431316042284,1041
2016-01-01,0.26053639846743304,783
2017-01-01,0.23887814313346234,1034
2018-01-01,0.3458549222797926,772
2019-01-01,0.37234042553191504,1128
2020-01-01,0.2988929889298893,542
2021-01-01,0.14732142857142846,224
