date,bipartisanship_ratio
2003-01-01,0.723196881091618
2004-01-01,0.7647058823529411
2005-01-01,0.7788944723618091
2006-01-01,0.7166666666666667
2007-01-01,0.7203114860480208
2008-01-01,0.8656361474435196
2009-01-01,0.7262357414448669
2010-01-01,0.8617614269788183
2011-01-01,0.6208144796380091
2012-01-01,0.6236686390532544
2013-01-01,0.6005089058524173
2014-01-01,0.6180981595092024
2015-01-01,0.5537525354969574
2016-01-01,0.5797101449275363
2017-01-01,0.5310173697270472
2018-01-01,0.5973154362416108
2019-01-01,0.8040973111395646
2020-01-01,0.7703488372093024
