,date,party,lugar
0,2013-01-01,Democrat,0.17727272727272728
1,2013-01-01,Republican,0.13071895424836602
2,2013-02-01,Democrat,0.2024793388429752
3,2013-02-01,Republican,0.2770012706480305
4,2013-03-01,Democrat,0.30718232044198895
5,2013-03-01,Republican,0.3204951856946355
6,2013-04-01,Democrat,0.2276176024279211
7,2013-04-01,Independent,0.5
8,2013-04-01,Republican,0.40852575488454707
9,2013-05-01,Democrat,0.2222222222222222
10,2013-05-01,Independent,0.9047619047619048
11,2013-05-01,Republican,0.19664634146341464
12,2013-06-01,Democrat,0.29213483146067415
13,2013-06-01,Republican,0.28888888888888886
14,2013-07-01,Democrat,0.3838383838383838
15,2013-07-01,Republican,0.17258064516129032
16,2013-08-01,Democrat,0.2753623188405797
17,2013-08-01,Republican,0.3225806451612903
18,2013-09-01,Democrat,0.1
19,2013-09-01,Independent,0.5
20,2013-09-01,Republican,0.14521452145214522
21,2013-10-01,Democrat,0.1955128205128205
22,2013-10-01,Independent,0.25
23,2013-10-01,Republican,0.16783216783216784
24,2013-11-01,Democrat,0.26506024096385544
25,2013-11-01,Republican,0.3061797752808989
26,2013-12-01,Democrat,0.35537190082644626
27,2013-12-01,Independent,0.0
28,2013-12-01,Republican,0.2574468085106383
29,2014-01-01,Democrat,0.14285714285714285
30,2014-01-01,Independent,0.9
31,2014-01-01,Republican,0.12903225806451613
32,2014-02-01,Democrat,0.3055555555555556
33,2014-02-01,Independent,0.9666666666666667
34,2014-02-01,Republican,0.39100346020761245
35,2014-03-01,Democrat,0.2746478873239437
36,2014-03-01,Republican,0.17370892018779344
37,2014-04-01,Democrat,0.17692307692307693
38,2014-04-01,Independent,0.0
39,2014-04-01,Republican,0.2188235294117647
40,2014-05-01,Democrat,0.16877637130801687
41,2014-05-01,Republican,0.3389830508474576
42,2014-06-01,Democrat,0.2815884476534296
43,2014-06-01,Independent,0.97
44,2014-06-01,Republican,0.3707482993197279
45,2014-07-01,Democrat,0.19815668202764977
46,2014-07-01,Republican,0.15714285714285714
47,2014-08-01,Republican,0.17647058823529413
48,2014-09-01,Democrat,0.1118421052631579
49,2014-09-01,Republican,0.375
50,2014-11-01,Democrat,0.15384615384615385
51,2014-11-01,Republican,0.4166666666666667
52,2014-12-01,Democrat,0.4166666666666667
53,2014-12-01,Republican,0.4642857142857143
