,date,party,lugar
0,2013-01-01,Democrat,0.08766233766233766
1,2013-01-01,Republican,0.2727272727272727
2,2013-02-01,Democrat,0.19411764705882353
3,2013-02-01,Republican,0.5909090909090909
4,2013-03-01,Democrat,0.28969359331476324
5,2013-03-01,Republican,0.5377358490566038
6,2013-04-01,Democrat,0.12704174228675136
7,2013-04-01,Republican,0.6666666666666666
8,2013-05-01,Democrat,0.21164021164021163
9,2013-05-01,Independent,0.9047619047619048
10,2013-05-01,Republican,0.5142857142857142
11,2013-06-01,Democrat,0.32786885245901637
12,2013-06-01,Republican,0.08823529411764706
13,2013-07-01,Democrat,0.16216216216216217
14,2013-07-01,Republican,0.21052631578947367
15,2013-08-01,Democrat,0.2222222222222222
16,2013-08-01,Republican,0.23809523809523808
17,2013-09-01,Democrat,0.13333333333333333
18,2013-09-01,Independent,0.5
19,2013-09-01,Republican,0.46153846153846156
20,2013-10-01,Democrat,0.1341991341991342
21,2013-10-01,Republican,0.5833333333333334
22,2013-11-01,Democrat,0.16417910447761194
23,2013-12-01,Democrat,0.2
24,2013-12-01,Republican,0.3333333333333333
25,2014-01-01,Democrat,0.05357142857142857
26,2014-01-01,Independent,0.9
27,2014-01-01,Republican,0.26666666666666666
28,2014-02-01,Democrat,0.4375
29,2014-02-01,Independent,0.9666666666666667
30,2014-02-01,Republican,0.25
31,2014-03-01,Democrat,0.19480519480519481
32,2014-03-01,Republican,0.5344827586206896
33,2014-04-01,Democrat,0.11904761904761904
34,2014-04-01,Independent,0.0
35,2014-04-01,Republican,0.5555555555555556
36,2014-05-01,Democrat,0.16387337057728119
37,2014-05-01,Independent,0.9
38,2014-05-01,Republican,0.1388888888888889
39,2014-06-01,Democrat,0.19063545150501673
40,2014-06-01,Independent,0.97
41,2014-06-01,Republican,0.3736842105263158
42,2014-07-01,Democrat,0.240625
43,2014-07-01,Republican,0.42105263157894735
44,2014-08-01,Democrat,0.0
45,2014-08-01,Republican,1.0
46,2014-09-01,Democrat,0.18666666666666668
47,2014-09-01,Independent,0.6666666666666666
48,2014-09-01,Republican,0.3076923076923077
49,2014-11-01,Democrat,0.5
50,2014-11-01,Republican,0.6944444444444444
51,2014-12-01,Democrat,0.41379310344827586
52,2014-12-01,Republican,0.6666666666666666
