,date,party,lugar
0,2013-01-01,Democrat,0.11058823529411765
1,2013-01-01,Republican,0.3707482993197279
2,2013-02-01,Democrat,0.17408906882591094
3,2013-02-01,Republican,0.35051546391752575
4,2013-03-01,Democrat,0.2988505747126437
5,2013-03-01,Republican,0.3298611111111111
6,2013-04-01,Democrat,0.2609271523178808
7,2013-04-01,Independent,0.3333333333333333
8,2013-04-01,Republican,0.8026666666666666
9,2013-05-01,Democrat,0.3249211356466877
10,2013-05-01,Independent,0.5
11,2013-05-01,Republican,0.5007898894154819
12,2013-06-01,Democrat,0.3443396226415094
13,2013-06-01,Republican,0.6090909090909091
14,2013-07-01,Democrat,0.2900763358778626
15,2013-07-01,Republican,0.3430232558139535
16,2013-08-01,Democrat,0.27932960893854747
17,2013-08-01,Republican,0.175
18,2013-09-01,Democrat,0.23655913978494625
19,2013-09-01,Independent,0.875
20,2013-09-01,Republican,0.2206896551724138
21,2013-10-01,Democrat,0.3305084745762712
22,2013-10-01,Independent,0.4
23,2013-10-01,Republican,0.20408163265306123
24,2013-11-01,Democrat,0.5206896551724138
25,2013-11-01,Independent,0.5
26,2013-11-01,Republican,0.2962962962962963
27,2013-12-01,Democrat,0.24516129032258063
28,2013-12-01,Republican,0.28672985781990523
29,2014-01-01,Democrat,0.2543859649122807
30,2014-01-01,Independent,0.9
31,2014-01-01,Republican,0.3654618473895582
32,2014-02-01,Democrat,0.24066390041493776
33,2014-02-01,Independent,0.9666666666666667
34,2014-02-01,Republican,0.1956521739130435
35,2014-03-01,Democrat,0.6770833333333334
36,2014-03-01,Republican,0.44
37,2014-04-01,Democrat,0.379746835443038
38,2014-04-01,Republican,0.28
39,2014-05-01,Democrat,0.40584415584415584
40,2014-05-01,Republican,0.5138023152270703
41,2014-06-01,Democrat,0.24257425742574257
42,2014-06-01,Independent,0.9701492537313433
43,2014-06-01,Republican,0.22614840989399293
44,2014-07-01,Democrat,0.38005390835579517
45,2014-07-01,Republican,0.49375
46,2014-08-01,Democrat,0.4117647058823529
47,2014-08-01,Republican,0.8072289156626506
48,2014-09-01,Democrat,0.20833333333333334
49,2014-09-01,Republican,0.5294117647058824
50,2014-11-01,Democrat,0.1875
51,2014-11-01,Independent,0.5
52,2014-11-01,Republican,0.5483870967741935
53,2014-12-01,Democrat,0.46
54,2014-12-01,Republican,0.466403162055336
