,date,party,lugar
0,2013-01-01,Democrat,0.06912442396313365
1,2013-01-01,Republican,0.22968197879858657
2,2013-02-01,Democrat,0.3010752688172043
3,2013-02-01,Republican,0.4289985052316891
4,2013-03-01,Democrat,0.4153846153846154
5,2013-03-01,Republican,0.3836824696802646
6,2013-04-01,Democrat,0.2546816479400749
7,2013-04-01,Republican,0.4449213161659514
8,2013-05-01,Democrat,0.38372093023255816
9,2013-05-01,Republican,0.5572755417956656
10,2013-06-01,Democrat,0.26573426573426573
11,2013-06-01,Republican,0.48602673147023084
12,2013-07-01,Democrat,0.13753581661891118
13,2013-07-01,Republican,0.46887966804979253
14,2013-08-01,Democrat,0.21428571428571427
15,2013-08-01,Republican,0.36
16,2013-09-01,Democrat,0.17757009345794392
17,2013-09-01,Republican,0.17073170731707318
18,2013-10-01,Democrat,0.2553191489361702
19,2013-10-01,Republican,0.5402843601895735
20,2013-11-01,Democrat,0.28756476683937826
21,2013-11-01,Republican,0.4295774647887324
22,2013-12-01,Democrat,0.39728353140916806
23,2013-12-01,Republican,0.43636363636363634
24,2014-01-01,Democrat,0.2616822429906542
25,2014-01-01,Republican,0.3888888888888889
26,2014-02-01,Democrat,0.22807017543859648
27,2014-02-01,Republican,0.49808429118773945
28,2014-03-01,Democrat,0.41353383458646614
29,2014-03-01,Republican,0.5567282321899736
30,2014-04-01,Democrat,0.39814814814814814
31,2014-04-01,Republican,0.42152466367713004
32,2014-05-01,Democrat,0.3602080624187256
33,2014-05-01,Republican,0.3742138364779874
34,2014-06-01,Democrat,0.25161290322580643
35,2014-06-01,Republican,0.2926829268292683
36,2014-07-01,Democrat,0.36152954808806487
37,2014-07-01,Republican,0.3887640449438202
38,2014-08-01,Democrat,0.23333333333333334
39,2014-08-01,Republican,0.5
40,2014-09-01,Democrat,0.37755102040816324
41,2014-09-01,Republican,0.3463203463203463
42,2014-11-01,Democrat,0.18518518518518517
43,2014-11-01,Republican,0.43478260869565216
44,2014-12-01,Democrat,0.35944700460829493
45,2014-12-01,Republican,0.423728813559322
