,date,party,lugar
0,2013-01-01,Democrat,0.2116788321167883
1,2013-01-01,Republican,0.15719063545150502
2,2013-02-01,Democrat,0.22872340425531915
3,2013-02-01,Independent,0.5
4,2013-02-01,Republican,0.44732195409064157
5,2013-03-01,Democrat,0.36140350877192984
6,2013-03-01,Independent,0.9166666666666666
7,2013-03-01,Republican,0.3053763440860215
8,2013-04-01,Democrat,0.24969249692496925
9,2013-04-01,Republican,0.41652613827993257
10,2013-05-01,Democrat,0.2336244541484716
11,2013-05-01,Independent,0.7142857142857143
12,2013-05-01,Republican,0.44761904761904764
13,2013-06-01,Democrat,0.3907563025210084
14,2013-06-01,Republican,0.27769110764430577
15,2013-07-01,Democrat,0.3157894736842105
16,2013-07-01,Republican,0.42397137745974955
17,2013-08-01,Democrat,0.3623693379790941
18,2013-08-01,Republican,0.5361702127659574
19,2013-09-01,Democrat,0.5
20,2013-09-01,Republican,0.3141025641025641
21,2013-10-01,Democrat,0.2576419213973799
22,2013-10-01,Republican,0.31746031746031744
23,2013-11-01,Democrat,0.3411764705882353
24,2013-11-01,Republican,0.4482758620689655
25,2013-12-01,Democrat,0.26900584795321636
26,2013-12-01,Republican,0.26548672566371684
27,2014-01-01,Democrat,0.17721518987341772
28,2014-01-01,Republican,0.36363636363636365
29,2014-02-01,Democrat,0.1984126984126984
30,2014-02-01,Republican,0.18120805369127516
31,2014-03-01,Democrat,0.32098765432098764
32,2014-03-01,Republican,0.18716577540106952
33,2014-04-01,Democrat,0.1595744680851064
34,2014-04-01,Republican,0.3154034229828851
35,2014-05-01,Democrat,0.2457627118644068
36,2014-05-01,Republican,0.44573643410852715
37,2014-06-01,Democrat,0.24581005586592178
38,2014-06-01,Republican,0.5463182897862233
39,2014-07-01,Democrat,0.2777777777777778
40,2014-07-01,Republican,0.3333333333333333
41,2014-08-01,Democrat,0.6666666666666666
42,2014-08-01,Republican,0.13333333333333333
43,2014-09-01,Democrat,0.18439716312056736
44,2014-09-01,Independent,0.0
45,2014-09-01,Republican,0.5159235668789809
46,2014-11-01,Democrat,0.2727272727272727
47,2014-11-01,Republican,0.1111111111111111
48,2014-12-01,Democrat,0.29411764705882354
49,2014-12-01,Republican,0.6415094339622641
