,date,vote_metric
0,2000-10-01,
1,2000-11-01,
2,2000-12-01,
3,2001-01-01,
4,2001-02-01,
5,2001-03-01,
6,2001-04-01,
7,2001-05-01,
8,2001-06-01,
9,2001-07-01,
10,2001-08-01,
11,2001-09-01,
12,2001-10-01,
13,2001-11-01,
14,2001-12-01,
15,2002-01-01,
16,2002-02-01,
17,2002-03-01,
18,2002-04-01,
19,2002-05-01,
20,2002-06-01,
21,2002-07-01,
22,2002-08-01,
23,2002-09-01,
24,2002-10-01,
25,2002-11-01,
26,2002-12-01,
27,2003-01-01,0.65
28,2003-02-01,0.92
29,2003-03-01,0.9369369369369369
30,2003-04-01,0.7631578947368421
31,2003-05-01,0.7795275590551181
32,2003-06-01,0.8291139240506329
33,2003-07-01,0.7108433734939759
34,2003-08-01,
35,2003-09-01,0.8942307692307693
36,2003-10-01,0.856
37,2003-11-01,0.8522727272727273
38,2003-12-01,0.8333333333333334
39,2004-01-01,0.8
40,2004-02-01,0.9411764705882353
41,2004-03-01,0.8990825688073395
42,2004-04-01,0.8297872340425532
43,2004-05-01,0.8602150537634409
44,2004-06-01,0.8561643835616438
45,2004-07-01,0.7653061224489796
46,2004-08-01,
47,2004-09-01,0.8172043010752689
48,2004-10-01,0.9016393442622951
49,2004-11-01,0.8666666666666667
50,2004-12-01,1.0
51,2005-01-01,
52,2005-02-01,0.9696969696969697
53,2005-03-01,0.7983193277310925
54,2005-04-01,0.8620689655172413
55,2005-05-01,0.8735632183908046
56,2005-06-01,0.7083333333333334
57,2005-07-01,0.7985611510791367
58,2005-08-01,
59,2005-09-01,0.9358974358974359
60,2005-10-01,0.881578947368421
61,2005-11-01,0.8403361344537815
62,2005-12-01,0.7848101265822784
63,2006-01-01,
64,2006-02-01,0.8888888888888888
65,2006-03-01,0.825
66,2006-04-01,0.9534883720930233
67,2006-05-01,0.7098765432098766
68,2006-06-01,0.7898089171974523
69,2006-07-01,0.90625
70,2006-08-01,0.6666666666666666
71,2006-09-01,0.9145299145299145
72,2006-10-01,
73,2006-11-01,0.8571428571428571
74,2006-12-01,0.6956521739130435
75,2007-01-01,0.9142857142857143
76,2007-02-01,1.0
77,2007-03-01,0.754601226993865
78,2007-04-01,0.7105263157894737
79,2007-05-01,0.6853932584269663
80,2007-06-01,0.3872340425531915
81,2007-07-01,0.46261682242990654
82,2007-08-01,0.45569620253164556
83,2007-09-01,0.7844827586206896
84,2007-10-01,0.8285714285714286
85,2007-11-01,0.8854166666666666
86,2007-12-01,0.8131868131868132
87,2008-01-01,0.7741935483870968
88,2008-02-01,0.963855421686747
89,2008-03-01,0.6938775510204082
90,2008-04-01,0.8623853211009175
91,2008-05-01,0.8345323741007195
92,2008-06-01,0.8823529411764706
93,2008-07-01,0.9401709401709402
94,2008-08-01,0.625
95,2008-09-01,0.9316239316239316
96,2008-10-01,0.9166666666666666
97,2008-11-01,
98,2008-12-01,1.0
99,2009-01-01,
100,2009-02-01,
