,date,vote_metric
0,2000-10-01,
1,2000-11-01,
2,2000-12-01,
3,2001-01-01,
4,2001-02-01,
5,2001-03-01,
6,2001-04-01,
7,2001-05-01,
8,2001-06-01,
9,2001-07-01,
10,2001-08-01,
11,2001-09-01,
12,2001-10-01,
13,2001-11-01,
14,2001-12-01,
15,2002-01-01,
16,2002-02-01,
17,2002-03-01,
18,2002-04-01,
19,2002-05-01,
20,2002-06-01,
21,2002-07-01,
22,2002-08-01,
23,2002-09-01,
24,2002-10-01,
25,2002-11-01,
26,2002-12-01,
27,2003-01-01,1.0
28,2003-02-01,0.96
29,2003-03-01,0.963963963963964
30,2003-04-01,1.0
31,2003-05-01,
32,2003-06-01,0.9936708860759493
33,2003-07-01,
34,2003-08-01,
35,2003-09-01,1.0
36,2003-10-01,0.984
37,2003-11-01,1.0
38,2003-12-01,
39,2004-01-01,
40,2004-02-01,0.9705882352941176
41,2004-03-01,0.9908256880733946
42,2004-04-01,1.0
43,2004-05-01,
44,2004-06-01,1.0
45,2004-07-01,
46,2004-08-01,
47,2004-09-01,0.989247311827957
48,2004-10-01,1.0
49,2004-11-01,
50,2004-12-01,
51,2005-01-01,
52,2005-02-01,
53,2005-03-01,
54,2005-04-01,0.9885057471264368
55,2005-05-01,0.9770114942528736
56,2005-06-01,
57,2005-07-01,0.9928057553956835
58,2005-08-01,
59,2005-09-01,1.0
60,2005-10-01,
61,2005-11-01,1.0
62,2005-12-01,0.9746835443037974
63,2006-01-01,
64,2006-02-01,1.0
65,2006-03-01,0.9916666666666667
66,2006-04-01,1.0
67,2006-05-01,
68,2006-06-01,1.0
69,2006-07-01,0.9895833333333334
70,2006-08-01,
71,2006-09-01,0.9743589743589743
72,2006-10-01,
73,2006-11-01,
74,2006-12-01,1.0
75,2007-01-01,
76,2007-02-01,
77,2007-03-01,0.9938650306748467
78,2007-04-01,
79,2007-05-01,0.9887640449438202
80,2007-06-01,1.0
81,2007-07-01,
82,2007-08-01,
83,2007-09-01,1.0
84,2007-10-01,1.0
85,2007-11-01,0.9895833333333334
86,2007-12-01,1.0
87,2008-01-01,
88,2008-02-01,
89,2008-03-01,
90,2008-04-01,
91,2008-05-01,
92,2008-06-01,1.0
93,2008-07-01,
94,2008-08-01,
95,2008-09-01,0.9829059829059829
96,2008-10-01,1.0
97,2008-11-01,
98,2008-12-01,
99,2009-01-01,
100,2009-02-01,1.0
101,2009-03-01,1.0
102,2009-04-01,0.9807692307692307
103,2009-05-01,1.0
104,2009-06-01,1.0
105,2009-07-01,1.0
106,2009-08-01,
107,2009-09-01,
108,2009-10-01,
109,2009-11-01,
110,2009-12-01,1.0
111,2010-01-01,
112,2010-02-01,1.0
113,2010-03-01,1.0
114,2010-04-01,1.0
115,2010-05-01,1.0
116,2010-06-01,1.0
117,2010-07-01,1.0
118,2010-08-01,
119,2010-09-01,1.0
120,2010-10-01,
121,2010-11-01,1.0
122,2010-12-01,1.0
