,date,vote_metric
123,2011-01-01,1.0
124,2011-02-01,0.9784172661870504
125,2011-03-01,
126,2011-04-01,
127,2011-05-01,0.9913793103448276
128,2011-06-01,
129,2011-07-01,
130,2011-08-01,
131,2011-09-01,1.0
132,2011-10-01,
133,2011-11-01,0.9866666666666667
134,2011-12-01,0.989010989010989
135,2012-01-01,1.0
136,2012-02-01,1.0
137,2012-03-01,
138,2012-04-01,0.9682539682539683
139,2012-05-01,0.9846153846153847
140,2012-06-01,
141,2012-07-01,
142,2012-08-01,
143,2012-09-01,0.9824561403508771
144,2012-10-01,
145,2012-11-01,
146,2012-12-01,1.0
147,2013-01-01,
148,2013-02-01,0.8387096774193549
149,2013-03-01,1.0
150,2013-04-01,0.8958333333333334
151,2013-05-01,1.0
152,2013-06-01,0.9930555555555556
153,2013-07-01,
154,2013-08-01,
155,2013-09-01,1.0
156,2013-10-01,
157,2013-11-01,
158,2013-12-01,
159,2014-01-01,
160,2014-02-01,
161,2014-03-01,
162,2014-04-01,1.0
163,2014-05-01,1.0
164,2014-06-01,
165,2014-07-01,1.0
166,2014-08-01,
167,2014-09-01,
168,2014-10-01,
169,2014-11-01,1.0
170,2014-12-01,
171,2015-01-01,1.0
172,2015-02-01,1.0
173,2015-03-01,0.9519230769230769
174,2015-04-01,0.9887640449438202
175,2015-05-01,0.9875
176,2015-06-01,1.0
177,2015-07-01,1.0
178,2015-08-01,
179,2015-09-01,0.9583333333333334
180,2015-10-01,
181,2015-11-01,
182,2015-12-01,1.0
183,2016-01-01,
184,2016-02-01,1.0
185,2016-03-01,1.0
186,2016-04-01,0.9850746268656716
187,2016-05-01,0.9908256880733946
188,2016-06-01,1.0
189,2016-07-01,1.0
190,2016-08-01,
191,2016-09-01,0.990909090909091
192,2016-10-01,
193,2016-11-01,1.0
194,2016-12-01,1.0
195,2017-01-01,
196,2017-02-01,0.9534883720930233
197,2017-03-01,
198,2017-04-01,
199,2017-05-01,0.9583333333333334
200,2017-06-01,
201,2017-07-01,1.0
202,2017-08-01,
203,2017-09-01,
204,2017-10-01,0.987012987012987
205,2017-11-01,
206,2017-12-01,0.9615384615384616
207,2018-01-01,0.9591836734693877
208,2018-02-01,1.0
209,2018-03-01,1.0
210,2018-04-01,1.0
211,2018-05-01,0.9846153846153847
212,2018-06-01,0.9805825242718447
213,2018-07-01,
214,2018-08-01,
215,2018-09-01,0.9761904761904762
216,2018-10-01,
217,2018-11-01,
218,2018-12-01,0.9655172413793104
219,2019-01-01,1.0
220,2019-02-01,0.9183673469387755
221,2019-03-01,1.0
222,2019-04-01,0.9705882352941176
223,2019-05-01,1.0
224,2019-06-01,
225,2019-07-01,
226,2019-08-01,
227,2019-09-01,
228,2019-10-01,0.9850746268656716
229,2019-11-01,
230,2019-12-01,1.0
231,2020-01-01,1.0
232,2020-02-01,0.9642857142857143
233,2020-03-01,
234,2020-04-01,
235,2020-05-01,
236,2020-06-01,0.9285714285714286
237,2020-07-01,
238,2020-08-01,
239,2020-09-01,
240,2020-10-01,0.9166666666666666
241,2020-11-01,
242,2020-12-01,0.9696969696969697
243,2021-01-01,
244,2021-02-01,1.0
245,2021-03-01,0.953125
